element damage mpcahj0 cbhj0 rbhj0 mpcahj2 cbhj2 rbhj2 mpcahj5 cbhj5 rbhj5 mpcahj10 cbhj10 rbhj10 mpca0 cb0 rb0
1 100 100.09 100.00 100.00 98.63 98.71 98.73 96.22 96.20 96.05 91.94 92.09 91.98 91.71 93.35 92.80
2 85 84.97 85.00 85.00 85.25 85.21 85.21 86.05 86.06 86.12 87.66 87.53 87.63 97.10 94.89 91.78
3 100 99.93 100.00 100.00 99.22 99.20 99.19 97.94 97.95 97.98 96.15 96.11 96.13 86.15 83.63 88.23
4 95 95.04 95.00 95.00 91.45 91.47 91.48 86.43 86.45 86.44 79.40 79.52 79.46 79.58 90.12 92.47
5 100 100.02 100.00 100.00 100.37 100.41 100.39 100.41 100.47 100.48 101.32 101.20 101.28 74.07 73.86 90.48
6 100 99.96 100.00 100.00 96.10 96.10 96.12 90.93 90.89 90.87 83.19 83.34 83.25 69.97 82.14 91.28
7 70 70.01 70.00 70.00 70.07 70.06 70.06 70.21 70.21 70.19 70.08 70.12 70.10 88.87 79.30 76.46
8 100 99.95 100.00 100.00 100.87 100.82 100.80 102.51 102.52 102.61 105.49 105.39 105.46 104.61 108.16 103.56
9 100 103.42 100.00 100.00 106.65 107.43 108.09 115.52 115.93 113.58 131.44 130.05 130.65 59.17 75.14 57.56
10 90 90.06 90.00 90.00 89.67 89.69 89.70 89.35 89.35 89.28 89.09 89.06 89.06 93.52 84.71 89.58
11 100 99.66 100.00 100.00 145.56 150.00 150.00 150.00 150.00 150.00 150.00 150.00 150.00 69.20 64.23 65.36
12 80 79.98 80.00 80.00 78.01 78.02 78.03 75.00 74.98 74.96 70.28 70.36 70.31 85.99 86.38 80.16
