element integral real noiselessqg noisy2qg noisy5qg noiselessmpca noisy2mpca noisy5mpca
1 1750000 1750000 1750000 1724278 1668087 1750000 1721232 1683850
2 1750000 1487500 1487500 1495381 1515797 1487500 1496540 1505875
3 1750000 1750000 1750000 1735560 1715860 1749650 1734968 1714650
4 1750000 1662500 1662499 1602145 1511240 1660575 1599635 1513750
5 1750000 1750000 1750000 1750000 1750000 1750000 1750000 1750000
6 1750000 1750000 1750000 1687677 1591302 1750000 1683604 1592325
7 1750000 1225000 1225000 1227153 1228577 1224475 1227438 1228325
8 1237440 1237440 1237436 1237440 1237440 1237316 1237440 1237440
9 1750000 1750000 1749999 1750000 1750000 1747025 1750000 1750000
10 1237440 1113696 1113693 1110836 1102685 1113819 1110158 1105652
11 1750000 1750000 1750000 1750000 1750000 1750000 1750000 1750000
12 1237440 989952 989949 965595 925831 990075 964053 928574
